day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
0;0;RAINFOREST_RESIN;9998;9;9995;23;;;10005;23;;;;;10001.5;0.0
0;0;KELP;2028;23;;;;;2032;23;;;;;2030.0;0.0
0;0;SQUID_INK;1968;23;;;;;1971;23;;;;;1969.5;0.0
0;100;SQUID_INK;1970;1;1969;2;1967;22;1971;22;;;;;1970.5;-24.19140625
0;100;KELP;2031;1;2030;2;2028;22;2032;22;;;;;2031.5;-47.93359375
0;100;RAINFOREST_RESIN;10002;1;10000;2;9998;4;10004;1;10005;21;;;10003.0;-18.0
0;200;SQUID_INK;1966;1;1965;21;;;1969;22;;;;;1967.5;23.9609375
0;200;RAINFOREST_RESIN;9996;1;9995;21;;;10004;1;10005;21;;;10000.0;-16.0
0;200;KELP;2029;1;2028;21;;;2032;22;;;;;2030.5;-49.69921875
0;300;SQUID_INK;1967;1;1965;26;;;1968;26;;;;;1967.5;32.9296875
0;300;KELP;2031;1;2029;26;;;2032;26;;;;;2031.5;-53.796875
0;300;RAINFOREST_RESIN;9995;26;;;;;10005;26;;;;;10000.0;-20.0
0;400;RAINFOREST_RESIN;9998;8;9996;2;9995;26;10004;2;10005;26;;;10001.0;-150.0
0;400;KELP;2029;2;2028;26;;;2032;28;;;;;2030.5;-49.10546875
0;400;SQUID_INK;1966;28;;;;;1969;28;;;;;1967.5;10.63671875
0;500;SQUID_INK;1966;24;;;;;1968;3;1970;24;;;1967.0;-3.1171875
0;500;KELP;2028;24;;;;;2030;3;2031;24;;;2029.0;-40.00390625
0;500;RAINFOREST_RESIN;9998;8;9996;1;9995;23;10004;1;10005;23;;;10001.0;-166.0
0;600;SQUID_INK;1967;5;1965;30;;;1968;30;;;;;1967.5;13.6328125
0;600;RAINFOREST_RESIN;9996;2;9995;28;;;10004;2;10005;28;;;10000.0;-166.0
0;600;KELP;2030;5;2028;30;;;2031;30;;;;;2030.5;-39.6484375
0;700;SQUID_INK;1967;22;;;;;1970;23;;;;;1968.5;-73.7734375
0;700;KELP;2028;22;;;;;2032;23;;;;;2030.0;-47.078125
0;700;RAINFOREST_RESIN;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;-174.0
0;800;RAINFOREST_RESIN;9996;1;9995;24;;;10000;3;10004;1;10005;24;9998.0;-178.0
0;800;KELP;2028;25;;;;;2030;3;2032;25;;;2029.0;-47.5859375
0;800;SQUID_INK;1967;25;;;;;1968;3;1970;25;;;1967.5;-65.859375
0;900;SQUID_INK;1966;21;;;;;1970;21;;;;;1968.0;-47.875
0;900;KELP;2029;21;;;;;2032;21;;;;;2030.5;-55.890625
0;900;RAINFOREST_RESIN;9996;1;9995;20;;;9998;11;10004;1;10005;20;9997.0;-182.0
0;1000;SQUID_INK;1967;31;;;;;1970;31;;;;;1968.5;-86.0703125
0;1000;RAINFOREST_RESIN;9996;1;9995;30;;;10004;1;10005;30;;;10000.0;-186.0
0;1000;KELP;2029;31;;;;;2032;31;;;;;2030.5;-63.0078125
0;1100;SQUID_INK;1968;22;;;;;1971;22;;;;;1969.5;-117.453125
0;1100;KELP;2029;22;;;;;2032;22;;;;;2030.5;-63.5703125
0;1100;RAINFOREST_RESIN;9996;1;9995;21;;;10002;6;10004;1;10005;21;9999.0;-186.0
0;1200;RAINFOREST_RESIN;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;-186.0
0;1200;KELP;2029;22;;;;;2033;23;;;;;2031.0;-77.703125
0;1200;SQUID_INK;1968;22;;;;;1971;23;;;;;1969.5;-136.8515625
0;1300;SQUID_INK;1968;25;;;;;1971;25;;;;;1969.5;-123.640625
0;1300;KELP;2029;25;;;;;2033;25;;;;;2031.0;-82.8203125
0;1300;RAINFOREST_RESIN;10002;1;9995;25;;;10005;25;;;;;10003.5;-186.0
0;1400;SQUID_INK;1968;23;;;;;1970;6;1972;23;;;1969.0;-153.859375
0;1400;RAINFOREST_RESIN;9995;23;;;;;10000;6;10005;23;;;9997.5;-186.0
0;1400;KELP;2029;23;;;;;2030;6;2033;23;;;2029.5;-79.8515625
0;1500;SQUID_INK;1971;1;1969;21;;;1972;21;;;;;1971.5;-171.890625
0;1500;KELP;2032;1;2029;21;;;2033;21;;;;;2032.5;-81.1796875
0;1500;RAINFOREST_RESIN;9996;1;9995;20;;;9998;4;10004;1;10005;20;9997.0;-186.0
0;1600;RAINFOREST_RESIN;9996;2;9995;28;;;10004;2;10005;28;;;10000.0;-186.0
0;1600;KELP;2029;30;;;;;2033;30;;;;;2031.0;-82.9609375
0;1600;SQUID_INK;1970;30;;;;;1974;30;;;;;1972.0;-249.4765625
0;1700;SQUID_INK;1970;28;;;;;1972;8;1973;28;;;1971.0;-213.3515625
0;1700;KELP;2029;28;;;;;2031;8;2033;28;;;2030.0;-84.2890625
0;1700;RAINFOREST_RESIN;9995;28;;;;;10005;28;;;;;10000.0;-186.0
0;1800;SQUID_INK;1972;4;1971;23;;;1974;23;;;;;1973.0;-271.1328125
0;1800;RAINFOREST_RESIN;10000;4;9995;23;;;10002;10;10005;23;;;10001.0;-186.0
0;1800;KELP;2031;4;2029;23;;;2033;23;;;;;2032.0;-80.6171875
0;1900;SQUID_INK;1969;31;;;;;1972;32;;;;;1970.5;-171.4765625
0;1900;KELP;2030;31;;;;;2033;32;;;;;2031.5;-93.6015625
0;1900;RAINFOREST_RESIN;9996;2;9995;30;;;10004;2;10005;30;;;10000.0;-186.0
0;2000;RAINFOREST_RESIN;9996;2;9995;21;;;10004;2;10005;21;;;10000.0;-186.0
0;2000;KELP;2030;23;;;;;2033;23;;;;;2031.5;-95.171875
0;2000;SQUID_INK;1972;23;;;;;1975;23;;;;;1973.5;-330.4296875
0;2100;KELP;2030;28;;;;;2032;5;2033;2;2034;26;2031.0;-111.5703125
0;2100;SQUID_INK;1971;28;;;;;1972;5;1974;28;;;1971.5;-258.4609375
0;2100;RAINFOREST_RESIN;9996;2;9995;26;;;10004;2;10005;26;;;10000.0;-186.0
0;2200;KELP;2031;4;2030;21;;;2034;21;;;;;2032.5;-114.125
0;2200;SQUID_INK;1972;5;1971;20;;;1975;21;;;;;1973.5;-304.484375
0;2200;RAINFOREST_RESIN;9996;1;9995;20;;;9998;4;10004;1;10005;20;9997.0;-186.0
0;2300;SQUID_INK;1972;5;1971;24;;;1975;24;;;;;1973.5;-301.046875
0;2300;RAINFOREST_RESIN;9996;2;9995;22;;;10004;2;10005;22;;;10000.0;-186.0
0;2300;KELP;2030;29;;;;;2033;24;;;;;2031.5;-111.0
0;2400;RAINFOREST_RESIN;9996;2;9995;20;;;10004;2;10005;20;;;10000.0;-186.0
0;2400;KELP;2030;22;;;;;2033;22;;;;;2031.5;-108.3984375
0;2400;SQUID_INK;1973;22;;;;;1976;22;;;;;1974.5;-362.7109375
0;2500;KELP;2030;23;;;;;2033;2;2034;21;;;2031.5;-114.7890625
0;2500;SQUID_INK;1973;2;1972;21;;;1976;23;;;;;1974.5;-356.4375
0;2500;RAINFOREST_RESIN;9998;3;9996;2;9995;21;10004;2;10005;21;;;10001.0;-186.0
